ID,Source,Who,TrustSignals,Type,Discipline,Year,URL,KeyData,AUTH,SPEC,INDP,VRFY,ADOPT,Total,Tier
R001,Anthropic — How Anthropic teams use Claude Code (PDF),Anthropic (interviews with internal Growth Mktg / Legal / Data / etc. teams) · AI-lab vendor publishing first-party internal-team adoption report,Vendor of Claude itself. Internal interviews of named teams. Conservative claims (no marketing flourish). PDF freely distributed.,PRIMARY,CROSS,2025,https://www-cdn.anthropic.com/58284b19e702b49db9302d5b6f135ad8871e7658.pdf,Growth Mktg team is non-tech team of one; same channel mix as SEONGON; ad copy 2h→15min; 10x creative output via Figma plugin; in-house Meta Ads MCP server,5,5,1,3,5,19,A
R002,Anthropic Economic Index Mar 2026 (Learning curves),Anthropic Economic Research team · Vendor research function with public-facing methodology and dataset,Methodology paper-style report. Hugging Face dataset. Co-authored by named researchers. Quarterly updates show consistency.,PRIMARY,CROSS,2026,https://www.anthropic.com/research/economic-index-march-2026-report,Personal use 35→42%; coursework 19→12%; Mgmt 3→5%; Comp&Math 35% Claude.ai; no marketing-specific bucket,5,4,2,4,5,20,A
R003,Anthropic Economic Index Jan 2026 (Economic primitives),Anthropic Economic Research team · Vendor research function,Same methodology as R002. Earlier snapshot establishing baseline framework.,PRIMARY,CROSS,2026,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,5-dim primitives framework; API 75% automation vs Claude.ai 52% augmented; Comp&Math 34% .ai 46% API,5,4,2,4,5,20,A
R004,AgriciDaniel/claude-ads (GitHub),"GitHub user ""AgriciDaniel"" · Independent open-source contributor focused on Claude Code marketing skill kits",Owns multiple high-density skill repos (claude-ads + claude-seo + claude-seo.md). Code-as-evidence — every claim is verifiable in the repo. No commercial monetization visible.,OPEN-SOURCE,GADS+META,2026,https://github.com/AgriciDaniel/claude-ads,"250+ paid-ads checks across 7 platforms; 80 Google Ads checks; 12 industry templates; built on 16,000+ campaign basis",2,5,4,5,5,21,S
R005,AgriciDaniel/claude-seo (GitHub),"GitHub user ""AgriciDaniel"" · Independent open-source contributor — same author as R004",21 sub-skills + 15 subagents fully implemented; integrates official Google APIs and major MCP servers; production-grade quality gates.,OPEN-SOURCE,SEO,2026,https://github.com/AgriciDaniel/claude-seo,21 sub-skills; 15 subagents; 3 extensions (DataForSEO/Firecrawl/Banana); GSC+PSI+CrUX+GA4; programmatic-SEO quality gates,2,5,4,5,5,21,S
R006,inhouseseo/superseo-skills (GitHub),"InhouseSEO agency (operating SEO agency, GitHub org ""inhouseseo"") · Working SEO agency publishing internal toolkit as open source","Agency name implies operating practice. README explicitly states ""production-tested at InhouseSEO."" Methodology cites Koray Tuğberk / Kyle Roof / Lily Ray (recognized SEO authors).",OPEN-SOURCE,SEO+CONTENT,2025,https://github.com/inhouseseo/superseo-skills,11 SEO skills production-tested at agency; anti-AI-slop ruleset (tiered banned vocab + Horoscope Test); Koray/Roof/Ray methodology,2,5,3,5,2,17,B
R007,aaron-he-zhu/seo-geo-claude-skills (GitHub),"GitHub user ""aaron-he-zhu"" · Independent SEO+GEO practitioner shipping multi-agent skill library","20-skill library with documented frameworks (CORE-EEAT 80-item, CITE 40-item) cross-linked to other public benchmark repos. Multi-platform compatibility (35+ AI agents) shows ecosystem-aware design.",OPEN-SOURCE,SEO,2026,https://github.com/aaron-he-zhu/seo-geo-claude-skills,20 skills + 4 protocol skills; CORE-EEAT 80-item + CITE 40-item frameworks; works with 35+ AI agents beyond Claude Code,2,5,4,5,4,20,A
R008,Ayima — Claude for Technical SEO programme,"Ayima (UK SEO agency, founded 2007) · Established UK SEO agency formalizing Claude Code training for staff and clients",Agency operating since 2007. Mid-size team (~50). Programme is a paid productized course — they staked their reputation on it. Closest analog to SEONGON: an SEO agency teaching its own staff Claude Code.,AGENCY-CASE,SEO,2026,https://www.ayima.com/claude-seo/,4-week 2-track programme (Efficiency + Build); time savings: tech brief 3-5h→20min; schema 30-60min→3min; Frog export 45-90min→5min,5,5,4,3,4,21,S
R009,HubSpot × Marketing Against the Grain — Master Claude Code for Marketing,"HubSpot (NYSE: HUBS, ~$2B+ revenue MarTech vendor) co-branded with MATG podcast (Kipp Bodnar, HubSpot CMO; Kieran Flanagan) · Major MarTech vendor + senior marketing-leader podcast","HubSpot is one of the largest MarTech vendors globally. MATG hosts are HubSpot's CMO and SVP — speaking professionally, not as outside influencers. Course exists as a productized offering.",VENDOR-COURSE,CROSS+CONTENT,2026,https://offers.hubspot.com/claude-code-for-marketing-matg,"4 workflows + 12 prompts; ""Vibe Coder to Full-Stack Marketer"" framing; James Dickerson instructor",5,4,2,3,5,19,A
R010,HubSpot — Claude connector docs,HubSpot Knowledge Base team (official product docs) · Official product documentation,Documentation for a shipped product. Live integration users can verify. Vendor has commercial interest.,VENDOR-DOCS,MOPS,2026,https://knowledge.hubspot.com/integrations/set-up-and-use-the-hubspot-connector-for-claude,Generates summaries+visualizations from HubSpot data; takes action on insights inside HubSpot; first-party CRM integration,5,3,2,5,5,20,A
